Manage Qty,Manage Qty
Minimum Qty of CP Allowed in Shopping Cart,Minimum Qty of CP Allowed in Shopping Cart
Use Config Settings,Use Config Settings
The minimum quantity allowed for purchase of %1 is %2. It is %3 currently.,The minimum quantity allowed for purchase of %1 is %2. It is %3 currently.
Some configurable products do not meet minimum quantity requirement!,Some configurable products do not meet minimum quantity requirement!
Minimum Qty of Configurable Product,Minimum Qty of Configurable Product
Apply for all configurable product,Apply for all configurable product
